-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: High
Daytime: Morning
Iteration: 2
Look-ahead time: 15.0 sec
Execution time: -21302 msec
-------------------------------------
Time-interval 1: 11
Time-interval 2: 5
Time-interval 3: 6
Time-interval 4: 7
Time-interval 5: 7
Time-interval 6: 4
Time-interval 7: 6
Time-interval 8: 12
Time-interval 9: 12
Time-interval 10: 9
Time-interval 11: 6
Time-interval 12: 7
Time-interval 13: 9
Time-interval 14: 7
Time-interval 15: 13
Time-interval 16: 14
Time-interval 17: 10
Time-interval 18: 6
Time-interval 19: 11
Time-interval 20: 11
Time-interval 21: 7
Time-interval 22: 6
Time-interval 23: 1
Time-interval 24: 11
Time-interval 25: 7
Time-interval 26: 4
Time-interval 27: 11
Time-interval 28: 10
Time-interval 29: 7
Time-interval 30: 9
Time-interval 31: 15
Time-interval 32: 10
Time-interval 33: 8
Time-interval 34: 10
Time-interval 35: 6
Time-interval 36: 14
Time-interval 37: 7
Time-interval 38: 15
Time-interval 39: 9
Time-interval 40: 9
Time-interval 41: 11
Time-interval 42: 16
Time-interval 43: 14
Time-interval 44: 11
Time-interval 45: 12
Time-interval 46: 9
Time-interval 47: 4
Time-interval 48: 16
Time-interval 49: 8
Time-interval 50: 9
Time-interval 51: 12
Time-interval 52: 5
Time-interval 53: 11
Time-interval 54: 16
Time-interval 55: 12
Time-interval 56: 14
Time-interval 57: 15
Time-interval 58: 8
Time-interval 59: 13
Time-interval 60: 10
Time-interval 61: 12
Time-interval 62: 10
Time-interval 63: 9
Time-interval 64: 8
Time-interval 65: 12
Time-interval 66: 13
Time-interval 67: 14
Time-interval 68: 15
Time-interval 69: 8
Time-interval 70: 11
Time-interval 71: 10
Time-interval 72: 9
Time-interval 73: 8
Time-interval 74: 16
Time-interval 75: 18
Time-interval 76: 16
Time-interval 77: 10
Time-interval 78: 7
Time-interval 79: 14
Time-interval 80: 13
Time-interval 81: 13
Time-interval 82: 15
Time-interval 83: 15
Time-interval 84: 13
Time-interval 85: 14
Time-interval 86: 14
Time-interval 87: 13
Time-interval 88: 16
Time-interval 89: 9
Time-interval 90: 9
Time-interval 91: 15
Time-interval 92: 12
Time-interval 93: 10
Time-interval 94: 14
Time-interval 95: 16
Time-interval 96: 18
Time-interval 97: 11
Time-interval 98: 18
Time-interval 99: 21
Time-interval 100: 17
Time-interval 101: 10
Time-interval 102: 16
Time-interval 103: 14
Time-interval 104: 15
Time-interval 105: 13
Time-interval 106: 22
Time-interval 107: 13
Time-interval 108: 19
Time-interval 109: 18
Time-interval 110: 17
Time-interval 111: 13
Time-interval 112: 16
Time-interval 113: 10
Time-interval 114: 13
Time-interval 115: 20
Time-interval 116: 16
Time-interval 117: 19
Time-interval 118: 12
Time-interval 119: 14
Time-interval 120: 15
