-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: Low
Daytime: Lunch
Iteration: 1
Look-ahead time: 300.0 sec
Execution time: -7075 msec
-------------------------------------
Time-interval 1: 2
Time-interval 2: 4
Time-interval 3: 2
Time-interval 4: 2
Time-interval 5: 3
Time-interval 6: 4
Time-interval 7: 3
Time-interval 8: 2
Time-interval 9: 2
Time-interval 10: 3
Time-interval 11: 3
Time-interval 12: 3
Time-interval 13: 2
Time-interval 14: 3
Time-interval 15: 1
Time-interval 16: 2
Time-interval 17: 0
Time-interval 18: 3
Time-interval 19: 2
Time-interval 20: 4
Time-interval 21: 3
Time-interval 22: 5
Time-interval 23: 7
Time-interval 24: 3
Time-interval 25: 11
Time-interval 26: 6
Time-interval 27: 4
Time-interval 28: 6
Time-interval 29: 4
Time-interval 30: 3
Time-interval 31: 3
Time-interval 32: 5
Time-interval 33: 2
Time-interval 34: 1
Time-interval 35: 4
Time-interval 36: 6
Time-interval 37: 1
Time-interval 38: 4
Time-interval 39: 3
Time-interval 40: 1
Time-interval 41: 0
Time-interval 42: 3
Time-interval 43: 3
Time-interval 44: 2
Time-interval 45: 1
Time-interval 46: 1
Time-interval 47: 3
Time-interval 48: 6
Time-interval 49: 2
Time-interval 50: 1
Time-interval 51: 3
Time-interval 52: 3
Time-interval 53: 3
Time-interval 54: 3
Time-interval 55: 0
Time-interval 56: 6
Time-interval 57: 5
Time-interval 58: 3
Time-interval 59: 4
Time-interval 60: 3
Time-interval 61: 1
Time-interval 62: 4
Time-interval 63: 2
Time-interval 64: 4
Time-interval 65: 4
Time-interval 66: 1
Time-interval 67: 7
Time-interval 68: 4
Time-interval 69: 6
Time-interval 70: 2
Time-interval 71: 4
Time-interval 72: 3
Time-interval 73: 1
Time-interval 74: 5
Time-interval 75: 6
Time-interval 76: 4
Time-interval 77: 2
Time-interval 78: 3
Time-interval 79: 0
Time-interval 80: 3
Time-interval 81: 1
Time-interval 82: 4
Time-interval 83: 0
Time-interval 84: 6
Time-interval 85: 2
Time-interval 86: 3
Time-interval 87: 7
Time-interval 88: 3
Time-interval 89: 5
Time-interval 90: 1
Time-interval 91: 4
Time-interval 92: 3
Time-interval 93: 2
Time-interval 94: 3
Time-interval 95: 2
Time-interval 96: 4
Time-interval 97: 2
Time-interval 98: 8
Time-interval 99: 3
Time-interval 100: 5
Time-interval 101: 5
Time-interval 102: 3
Time-interval 103: 2
Time-interval 104: 3
Time-interval 105: 4
Time-interval 106: 6
Time-interval 107: 2
Time-interval 108: 5
Time-interval 109: 4
Time-interval 110: 4
Time-interval 111: 3
Time-interval 112: 4
Time-interval 113: 5
Time-interval 114: 4
Time-interval 115: 9
Time-interval 116: 6
Time-interval 117: 3
Time-interval 118: 10
Time-interval 119: 5
Time-interval 120: 4
