-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: UltraHigh
Daytime: Evening
Iteration: 2
Look-ahead time: 45.0 sec
Execution time: -39072 msec
-------------------------------------
Time-interval 1: 4
Time-interval 2: 3
Time-interval 3: 8
Time-interval 4: 3
Time-interval 5: 7
Time-interval 6: 7
Time-interval 7: 5
Time-interval 8: 5
Time-interval 9: 10
Time-interval 10: 10
Time-interval 11: 4
Time-interval 12: 12
Time-interval 13: 7
Time-interval 14: 6
Time-interval 15: 5
Time-interval 16: 7
Time-interval 17: 9
Time-interval 18: 11
Time-interval 19: 6
Time-interval 20: 4
Time-interval 21: 6
Time-interval 22: 6
Time-interval 23: 5
Time-interval 24: 10
Time-interval 25: 5
Time-interval 26: 7
Time-interval 27: 9
Time-interval 28: 7
Time-interval 29: 4
Time-interval 30: 5
Time-interval 31: 9
Time-interval 32: 12
Time-interval 33: 9
Time-interval 34: 11
Time-interval 35: 15
Time-interval 36: 10
Time-interval 37: 12
Time-interval 38: 10
Time-interval 39: 13
Time-interval 40: 8
Time-interval 41: 14
Time-interval 42: 6
Time-interval 43: 13
Time-interval 44: 10
Time-interval 45: 10
Time-interval 46: 11
Time-interval 47: 14
Time-interval 48: 7
Time-interval 49: 13
Time-interval 50: 10
Time-interval 51: 9
Time-interval 52: 6
Time-interval 53: 8
Time-interval 54: 15
Time-interval 55: 9
Time-interval 56: 8
Time-interval 57: 19
Time-interval 58: 10
Time-interval 59: 13
Time-interval 60: 15
Time-interval 61: 23
Time-interval 62: 10
Time-interval 63: 11
Time-interval 64: 12
Time-interval 65: 10
Time-interval 66: 14
Time-interval 67: 14
Time-interval 68: 12
Time-interval 69: 13
Time-interval 70: 20
Time-interval 71: 14
Time-interval 72: 13
Time-interval 73: 11
Time-interval 74: 16
Time-interval 75: 11
Time-interval 76: 14
Time-interval 77: 25
Time-interval 78: 10
Time-interval 79: 12
Time-interval 80: 24
Time-interval 81: 23
Time-interval 82: 15
Time-interval 83: 20
Time-interval 84: 23
Time-interval 85: 18
Time-interval 86: 16
Time-interval 87: 26
Time-interval 88: 29
Time-interval 89: 16
Time-interval 90: 21
Time-interval 91: 28
Time-interval 92: 12
Time-interval 93: 22
Time-interval 94: 20
Time-interval 95: 15
Time-interval 96: 15
Time-interval 97: 17
Time-interval 98: 19
Time-interval 99: 14
Time-interval 100: 22
Time-interval 101: 12
Time-interval 102: 24
Time-interval 103: 18
Time-interval 104: 27
Time-interval 105: 28
Time-interval 106: 28
Time-interval 107: 30
Time-interval 108: 30
Time-interval 109: 31
Time-interval 110: 20
Time-interval 111: 20
Time-interval 112: 31
Time-interval 113: 24
Time-interval 114: 20
Time-interval 115: 23
Time-interval 116: 19
Time-interval 117: 21
Time-interval 118: 29
Time-interval 119: 25
Time-interval 120: 35
