-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: UltraHigh
Daytime: Lunch
Iteration: 1
Look-ahead time: 15.0 sec
Execution time: -27874 msec
-------------------------------------
Time-interval 1: 5
Time-interval 2: 13
Time-interval 3: 17
Time-interval 4: 14
Time-interval 5: 10
Time-interval 6: 15
Time-interval 7: 18
Time-interval 8: 13
Time-interval 9: 8
Time-interval 10: 20
Time-interval 11: 12
Time-interval 12: 13
Time-interval 13: 16
Time-interval 14: 18
Time-interval 15: 13
Time-interval 16: 13
Time-interval 17: 15
Time-interval 18: 17
Time-interval 19: 13
Time-interval 20: 16
Time-interval 21: 14
Time-interval 22: 12
Time-interval 23: 9
Time-interval 24: 15
Time-interval 25: 19
Time-interval 26: 26
Time-interval 27: 17
Time-interval 28: 15
Time-interval 29: 17
Time-interval 30: 16
Time-interval 31: 17
Time-interval 32: 17
Time-interval 33: 19
Time-interval 34: 14
Time-interval 35: 21
Time-interval 36: 11
Time-interval 37: 19
Time-interval 38: 16
Time-interval 39: 18
Time-interval 40: 22
Time-interval 41: 12
Time-interval 42: 14
Time-interval 43: 13
Time-interval 44: 21
Time-interval 45: 18
Time-interval 46: 14
Time-interval 47: 16
Time-interval 48: 18
Time-interval 49: 19
Time-interval 50: 23
Time-interval 51: 20
Time-interval 52: 17
Time-interval 53: 13
Time-interval 54: 16
Time-interval 55: 18
Time-interval 56: 13
Time-interval 57: 22
Time-interval 58: 19
Time-interval 59: 18
Time-interval 60: 18
Time-interval 61: 20
Time-interval 62: 22
Time-interval 63: 16
Time-interval 64: 21
Time-interval 65: 21
Time-interval 66: 21
Time-interval 67: 23
Time-interval 68: 23
Time-interval 69: 23
Time-interval 70: 17
Time-interval 71: 16
Time-interval 72: 13
Time-interval 73: 21
Time-interval 74: 19
Time-interval 75: 18
Time-interval 76: 25
Time-interval 77: 9
Time-interval 78: 23
Time-interval 79: 12
Time-interval 80: 18
Time-interval 81: 19
Time-interval 82: 20
Time-interval 83: 20
Time-interval 84: 23
Time-interval 85: 21
Time-interval 86: 22
Time-interval 87: 29
Time-interval 88: 21
Time-interval 89: 19
Time-interval 90: 25
Time-interval 91: 25
Time-interval 92: 16
Time-interval 93: 19
Time-interval 94: 15
Time-interval 95: 23
Time-interval 96: 19
Time-interval 97: 22
Time-interval 98: 18
Time-interval 99: 22
Time-interval 100: 19
Time-interval 101: 27
Time-interval 102: 26
Time-interval 103: 27
Time-interval 104: 19
Time-interval 105: 25
Time-interval 106: 26
Time-interval 107: 22
Time-interval 108: 28
Time-interval 109: 24
Time-interval 110: 18
Time-interval 111: 19
Time-interval 112: 26
Time-interval 113: 24
Time-interval 114: 19
Time-interval 115: 20
Time-interval 116: 20
Time-interval 117: 27
Time-interval 118: 16
Time-interval 119: 26
Time-interval 120: 10
25665
