-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: UltraHigh
Daytime: Lunch
Iteration: 1
Look-ahead time: 90.0 sec
Execution time: -31035 msec
-------------------------------------
Time-interval 1: 21
Time-interval 2: 24
Time-interval 3: 24
Time-interval 4: 27
Time-interval 5: 22
Time-interval 6: 26
Time-interval 7: 23
Time-interval 8: 22
Time-interval 9: 22
Time-interval 10: 21
Time-interval 11: 24
Time-interval 12: 18
Time-interval 13: 25
Time-interval 14: 24
Time-interval 15: 32
Time-interval 16: 21
Time-interval 17: 33
Time-interval 18: 20
Time-interval 19: 25
Time-interval 20: 21
Time-interval 21: 29
Time-interval 22: 26
Time-interval 23: 23
Time-interval 24: 32
Time-interval 25: 28
Time-interval 26: 26
Time-interval 27: 27
Time-interval 28: 23
Time-interval 29: 25
Time-interval 30: 26
Time-interval 31: 21
Time-interval 32: 28
Time-interval 33: 24
Time-interval 34: 43
Time-interval 35: 31
Time-interval 36: 33
Time-interval 37: 25
Time-interval 38: 20
Time-interval 39: 33
Time-interval 40: 31
Time-interval 41: 27
Time-interval 42: 36
Time-interval 43: 30
Time-interval 44: 33
Time-interval 45: 26
Time-interval 46: 27
Time-interval 47: 26
Time-interval 48: 42
Time-interval 49: 36
Time-interval 50: 36
Time-interval 51: 26
Time-interval 52: 34
Time-interval 53: 33
Time-interval 54: 25
Time-interval 55: 27
Time-interval 56: 31
Time-interval 57: 38
Time-interval 58: 30
Time-interval 59: 22
Time-interval 60: 36
Time-interval 61: 34
Time-interval 62: 23
Time-interval 63: 45
Time-interval 64: 35
Time-interval 65: 28
Time-interval 66: 34
Time-interval 67: 47
Time-interval 68: 36
Time-interval 69: 31
Time-interval 70: 30
Time-interval 71: 42
Time-interval 72: 41
Time-interval 73: 34
Time-interval 74: 38
Time-interval 75: 35
Time-interval 76: 42
Time-interval 77: 38
Time-interval 78: 33
Time-interval 79: 31
Time-interval 80: 40
Time-interval 81: 32
Time-interval 82: 39
Time-interval 83: 38
Time-interval 84: 35
Time-interval 85: 43
Time-interval 86: 44
Time-interval 87: 27
Time-interval 88: 40
Time-interval 89: 39
Time-interval 90: 35
Time-interval 91: 26
Time-interval 92: 34
Time-interval 93: 30
Time-interval 94: 41
Time-interval 95: 45
Time-interval 96: 51
Time-interval 97: 34
Time-interval 98: 38
Time-interval 99: 41
Time-interval 100: 49
Time-interval 101: 47
Time-interval 102: 39
Time-interval 103: 42
Time-interval 104: 50
Time-interval 105: 45
Time-interval 106: 42
Time-interval 107: 43
Time-interval 108: 48
Time-interval 109: 43
Time-interval 110: 45
Time-interval 111: 43
Time-interval 112: 44
Time-interval 113: 54
Time-interval 114: 56
Time-interval 115: 46
Time-interval 116: 48
Time-interval 117: 47
Time-interval 118: 50
Time-interval 119: 38
Time-interval 120: 36
