-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: High
Daytime: Lunch
Iteration: 2
Look-ahead time: 90.0 sec
Execution time: -21691 msec
-------------------------------------
Time-interval 1: 12
Time-interval 2: 13
Time-interval 3: 13
Time-interval 4: 14
Time-interval 5: 15
Time-interval 6: 18
Time-interval 7: 18
Time-interval 8: 11
Time-interval 9: 24
Time-interval 10: 24
Time-interval 11: 8
Time-interval 12: 12
Time-interval 13: 11
Time-interval 14: 17
Time-interval 15: 12
Time-interval 16: 14
Time-interval 17: 15
Time-interval 18: 15
Time-interval 19: 15
Time-interval 20: 11
Time-interval 21: 13
Time-interval 22: 19
Time-interval 23: 19
Time-interval 24: 16
Time-interval 25: 17
Time-interval 26: 24
Time-interval 27: 14
Time-interval 28: 16
Time-interval 29: 32
Time-interval 30: 19
Time-interval 31: 21
Time-interval 32: 26
Time-interval 33: 19
Time-interval 34: 24
Time-interval 35: 21
Time-interval 36: 18
Time-interval 37: 17
Time-interval 38: 21
Time-interval 39: 13
Time-interval 40: 27
Time-interval 41: 21
Time-interval 42: 17
Time-interval 43: 18
Time-interval 44: 23
Time-interval 45: 16
Time-interval 46: 20
Time-interval 47: 18
Time-interval 48: 22
Time-interval 49: 26
Time-interval 50: 17
Time-interval 51: 20
Time-interval 52: 22
Time-interval 53: 18
Time-interval 54: 26
Time-interval 55: 18
Time-interval 56: 15
Time-interval 57: 22
Time-interval 58: 16
Time-interval 59: 27
Time-interval 60: 27
Time-interval 61: 24
Time-interval 62: 15
Time-interval 63: 21
Time-interval 64: 24
Time-interval 65: 15
Time-interval 66: 17
Time-interval 67: 28
Time-interval 68: 25
Time-interval 69: 20
Time-interval 70: 27
Time-interval 71: 20
Time-interval 72: 20
Time-interval 73: 20
Time-interval 74: 27
Time-interval 75: 27
Time-interval 76: 23
Time-interval 77: 24
Time-interval 78: 21
Time-interval 79: 28
Time-interval 80: 15
Time-interval 81: 26
Time-interval 82: 18
Time-interval 83: 26
Time-interval 84: 22
Time-interval 85: 29
Time-interval 86: 25
Time-interval 87: 32
Time-interval 88: 21
Time-interval 89: 25
Time-interval 90: 22
Time-interval 91: 15
Time-interval 92: 27
Time-interval 93: 24
Time-interval 94: 29
Time-interval 95: 20
Time-interval 96: 30
Time-interval 97: 25
Time-interval 98: 20
Time-interval 99: 22
Time-interval 100: 27
Time-interval 101: 26
Time-interval 102: 37
Time-interval 103: 24
Time-interval 104: 32
Time-interval 105: 36
Time-interval 106: 25
Time-interval 107: 27
Time-interval 108: 36
Time-interval 109: 25
Time-interval 110: 32
Time-interval 111: 19
Time-interval 112: 25
Time-interval 113: 22
Time-interval 114: 24
Time-interval 115: 28
Time-interval 116: 27
Time-interval 117: 32
Time-interval 118: 29
Time-interval 119: 32
Time-interval 120: 28
