-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: Medium
Daytime: Lunch
Iteration: 1
Look-ahead time: 90.0 sec
Execution time: -13314 msec
-------------------------------------
Time-interval 1: 10
Time-interval 2: 10
Time-interval 3: 6
Time-interval 4: 6
Time-interval 5: 12
Time-interval 6: 6
Time-interval 7: 18
Time-interval 8: 7
Time-interval 9: 11
Time-interval 10: 14
Time-interval 11: 12
Time-interval 12: 12
Time-interval 13: 10
Time-interval 14: 15
Time-interval 15: 11
Time-interval 16: 15
Time-interval 17: 11
Time-interval 18: 5
Time-interval 19: 9
Time-interval 20: 10
Time-interval 21: 14
Time-interval 22: 12
Time-interval 23: 14
Time-interval 24: 23
Time-interval 25: 19
Time-interval 26: 15
Time-interval 27: 24
Time-interval 28: 19
Time-interval 29: 13
Time-interval 30: 12
Time-interval 31: 13
Time-interval 32: 14
Time-interval 33: 11
Time-interval 34: 18
Time-interval 35: 15
Time-interval 36: 20
Time-interval 37: 11
Time-interval 38: 18
Time-interval 39: 15
Time-interval 40: 19
Time-interval 41: 17
Time-interval 42: 16
Time-interval 43: 23
Time-interval 44: 14
Time-interval 45: 15
Time-interval 46: 18
Time-interval 47: 20
Time-interval 48: 21
Time-interval 49: 12
Time-interval 50: 9
Time-interval 51: 15
Time-interval 52: 20
Time-interval 53: 15
Time-interval 54: 14
Time-interval 55: 14
Time-interval 56: 23
Time-interval 57: 15
Time-interval 58: 18
Time-interval 59: 22
Time-interval 60: 17
Time-interval 61: 26
Time-interval 62: 20
Time-interval 63: 21
Time-interval 64: 21
Time-interval 65: 12
Time-interval 66: 25
Time-interval 67: 28
Time-interval 68: 26
Time-interval 69: 21
Time-interval 70: 27
Time-interval 71: 24
Time-interval 72: 26
Time-interval 73: 30
Time-interval 74: 24
Time-interval 75: 22
Time-interval 76: 34
Time-interval 77: 27
Time-interval 78: 22
Time-interval 79: 20
Time-interval 80: 21
Time-interval 81: 22
Time-interval 82: 17
Time-interval 83: 27
Time-interval 84: 14
Time-interval 85: 27
Time-interval 86: 24
Time-interval 87: 31
Time-interval 88: 26
Time-interval 89: 29
Time-interval 90: 25
Time-interval 91: 29
Time-interval 92: 24
Time-interval 93: 33
Time-interval 94: 34
Time-interval 95: 39
Time-interval 96: 30
Time-interval 97: 21
Time-interval 98: 34
Time-interval 99: 31
Time-interval 100: 33
Time-interval 101: 33
Time-interval 102: 30
Time-interval 103: 42
Time-interval 104: 33
Time-interval 105: 32
Time-interval 106: 48
Time-interval 107: 37
Time-interval 108: 45
Time-interval 109: 32
Time-interval 110: 32
Time-interval 111: 33
Time-interval 112: 44
Time-interval 113: 46
Time-interval 114: 43
Time-interval 115: 38
Time-interval 116: 33
Time-interval 117: 44
Time-interval 118: 51
Time-interval 119: 40
Time-interval 120: 32
18066
