-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: UltraHigh
Daytime: Morning
Iteration: 2
Look-ahead time: 30.0 sec
Execution time: -26697 msec
-------------------------------------
Time-interval 1: 4
Time-interval 2: 3
Time-interval 3: 5
Time-interval 4: 4
Time-interval 5: 2
Time-interval 6: 3
Time-interval 7: 2
Time-interval 8: 2
Time-interval 9: 7
Time-interval 10: 4
Time-interval 11: 1
Time-interval 12: 3
Time-interval 13: 4
Time-interval 14: 4
Time-interval 15: 4
Time-interval 16: 3
Time-interval 17: 5
Time-interval 18: 3
Time-interval 19: 5
Time-interval 20: 4
Time-interval 21: 4
Time-interval 22: 3
Time-interval 23: 3
Time-interval 24: 5
Time-interval 25: 5
Time-interval 26: 4
Time-interval 27: 2
Time-interval 28: 3
Time-interval 29: 1
Time-interval 30: 5
Time-interval 31: 1
Time-interval 32: 7
Time-interval 33: 4
Time-interval 34: 7
Time-interval 35: 7
Time-interval 36: 3
Time-interval 37: 5
Time-interval 38: 3
Time-interval 39: 3
Time-interval 40: 3
Time-interval 41: 3
Time-interval 42: 7
Time-interval 43: 3
Time-interval 44: 0
Time-interval 45: 2
Time-interval 46: 3
Time-interval 47: 2
Time-interval 48: 2
Time-interval 49: 3
Time-interval 50: 3
Time-interval 51: 5
Time-interval 52: 2
Time-interval 53: 2
Time-interval 54: 3
Time-interval 55: 2
Time-interval 56: 3
Time-interval 57: 2
Time-interval 58: 4
Time-interval 59: 2
Time-interval 60: 5
Time-interval 61: 1
Time-interval 62: 7
Time-interval 63: 1
Time-interval 64: 5
Time-interval 65: 4
Time-interval 66: 6
Time-interval 67: 9
Time-interval 68: 6
Time-interval 69: 7
Time-interval 70: 3
Time-interval 71: 6
Time-interval 72: 2
Time-interval 73: 3
Time-interval 74: 5
Time-interval 75: 3
Time-interval 76: 4
Time-interval 77: 7
Time-interval 78: 6
Time-interval 79: 10
Time-interval 80: 7
Time-interval 81: 4
Time-interval 82: 7
Time-interval 83: 8
Time-interval 84: 5
Time-interval 85: 3
Time-interval 86: 8
Time-interval 87: 3
Time-interval 88: 5
Time-interval 89: 5
Time-interval 90: 7
Time-interval 91: 4
Time-interval 92: 6
Time-interval 93: 5
Time-interval 94: 4
Time-interval 95: 9
Time-interval 96: 3
Time-interval 97: 9
Time-interval 98: 13
Time-interval 99: 6
Time-interval 100: 12
Time-interval 101: 6
Time-interval 102: 6
Time-interval 103: 9
Time-interval 104: 11
Time-interval 105: 5
Time-interval 106: 5
Time-interval 107: 7
Time-interval 108: 7
Time-interval 109: 7
Time-interval 110: 7
Time-interval 111: 9
Time-interval 112: 14
Time-interval 113: 12
Time-interval 114: 11
Time-interval 115: 5
Time-interval 116: 8
Time-interval 117: 5
Time-interval 118: 10
Time-interval 119: 9
Time-interval 120: 16
25330
