-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: Medium
Daytime: Evening
Iteration: 1
Look-ahead time: 90.0 sec
Execution time: -11157 msec
-------------------------------------
Time-interval 1: 13
Time-interval 2: 11
Time-interval 3: 11
Time-interval 4: 9
Time-interval 5: 10
Time-interval 6: 9
Time-interval 7: 12
Time-interval 8: 19
Time-interval 9: 11
Time-interval 10: 16
Time-interval 11: 16
Time-interval 12: 14
Time-interval 13: 13
Time-interval 14: 14
Time-interval 15: 10
Time-interval 16: 8
Time-interval 17: 11
Time-interval 18: 10
Time-interval 19: 14
Time-interval 20: 11
Time-interval 21: 14
Time-interval 22: 14
Time-interval 23: 14
Time-interval 24: 16
Time-interval 25: 15
Time-interval 26: 18
Time-interval 27: 12
Time-interval 28: 17
Time-interval 29: 11
Time-interval 30: 15
Time-interval 31: 14
Time-interval 32: 12
Time-interval 33: 16
Time-interval 34: 9
Time-interval 35: 12
Time-interval 36: 15
Time-interval 37: 16
Time-interval 38: 15
Time-interval 39: 24
Time-interval 40: 14
Time-interval 41: 21
Time-interval 42: 13
Time-interval 43: 17
Time-interval 44: 21
Time-interval 45: 16
Time-interval 46: 20
Time-interval 47: 7
Time-interval 48: 23
Time-interval 49: 16
Time-interval 50: 23
Time-interval 51: 11
Time-interval 52: 14
Time-interval 53: 15
Time-interval 54: 14
Time-interval 55: 11
Time-interval 56: 16
Time-interval 57: 23
Time-interval 58: 13
Time-interval 59: 10
Time-interval 60: 13
Time-interval 61: 16
Time-interval 62: 9
Time-interval 63: 20
Time-interval 64: 21
Time-interval 65: 14
Time-interval 66: 13
Time-interval 67: 17
Time-interval 68: 19
Time-interval 69: 15
Time-interval 70: 19
Time-interval 71: 18
Time-interval 72: 14
Time-interval 73: 16
Time-interval 74: 24
Time-interval 75: 13
Time-interval 76: 7
Time-interval 77: 14
Time-interval 78: 18
Time-interval 79: 10
Time-interval 80: 27
Time-interval 81: 18
Time-interval 82: 21
Time-interval 83: 20
Time-interval 84: 18
Time-interval 85: 25
Time-interval 86: 19
Time-interval 87: 21
Time-interval 88: 27
Time-interval 89: 15
Time-interval 90: 21
Time-interval 91: 9
Time-interval 92: 25
Time-interval 93: 18
Time-interval 94: 18
Time-interval 95: 22
Time-interval 96: 17
Time-interval 97: 21
Time-interval 98: 18
Time-interval 99: 22
Time-interval 100: 24
Time-interval 101: 23
Time-interval 102: 29
Time-interval 103: 18
Time-interval 104: 21
Time-interval 105: 25
Time-interval 106: 19
Time-interval 107: 25
Time-interval 108: 26
Time-interval 109: 22
Time-interval 110: 29
Time-interval 111: 17
Time-interval 112: 26
Time-interval 113: 26
Time-interval 114: 22
Time-interval 115: 22
Time-interval 116: 29
Time-interval 117: 27
Time-interval 118: 26
Time-interval 119: 27
Time-interval 120: 30
18208
