-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: Low
Daytime: Morning
Iteration: 2
Look-ahead time: 300.0 sec
Execution time: -5227 msec
-------------------------------------
Time-interval 1: 3
Time-interval 2: 3
Time-interval 3: 4
Time-interval 4: 3
Time-interval 5: 6
Time-interval 6: 1
Time-interval 7: 3
Time-interval 8: 5
Time-interval 9: 1
Time-interval 10: 2
Time-interval 11: 5
Time-interval 12: 2
Time-interval 13: 2
Time-interval 14: 4
Time-interval 15: 4
Time-interval 16: 3
Time-interval 17: 4
Time-interval 18: 4
Time-interval 19: 5
Time-interval 20: 2
Time-interval 21: 3
Time-interval 22: 2
Time-interval 23: 8
Time-interval 24: 2
Time-interval 25: 2
Time-interval 26: 1
Time-interval 27: 3
Time-interval 28: 3
Time-interval 29: 2
Time-interval 30: 4
Time-interval 31: 3
Time-interval 32: 0
Time-interval 33: 4
Time-interval 34: 2
Time-interval 35: 1
Time-interval 36: 2
Time-interval 37: 3
Time-interval 38: 3
Time-interval 39: 2
Time-interval 40: 2
Time-interval 41: 4
Time-interval 42: 1
Time-interval 43: 1
Time-interval 44: 2
Time-interval 45: 2
Time-interval 46: 1
Time-interval 47: 3
Time-interval 48: 1
Time-interval 49: 3
Time-interval 50: 2
Time-interval 51: 3
Time-interval 52: 2
Time-interval 53: 5
Time-interval 54: 4
Time-interval 55: 4
Time-interval 56: 1
Time-interval 57: 1
Time-interval 58: 4
Time-interval 59: 4
Time-interval 60: 5
Time-interval 61: 4
Time-interval 62: 2
Time-interval 63: 4
Time-interval 64: 3
Time-interval 65: 1
Time-interval 66: 5
Time-interval 67: 5
Time-interval 68: 2
Time-interval 69: 2
Time-interval 70: 2
Time-interval 71: 2
Time-interval 72: 4
Time-interval 73: 1
Time-interval 74: 2
Time-interval 75: 2
Time-interval 76: 1
Time-interval 77: 3
Time-interval 78: 2
Time-interval 79: 3
Time-interval 80: 2
Time-interval 81: 1
Time-interval 82: 4
Time-interval 83: 2
Time-interval 84: 0
Time-interval 85: 5
Time-interval 86: 2
Time-interval 87: 2
Time-interval 88: 3
Time-interval 89: 2
Time-interval 90: 0
Time-interval 91: 2
Time-interval 92: 4
Time-interval 93: 2
Time-interval 94: 1
Time-interval 95: 2
Time-interval 96: 4
Time-interval 97: 1
Time-interval 98: 4
Time-interval 99: 3
Time-interval 100: 3
Time-interval 101: 2
Time-interval 102: 2
Time-interval 103: 4
Time-interval 104: 2
Time-interval 105: 4
Time-interval 106: 2
Time-interval 107: 0
Time-interval 108: 1
Time-interval 109: 1
Time-interval 110: 2
Time-interval 111: 4
Time-interval 112: 4
Time-interval 113: 2
Time-interval 114: 5
Time-interval 115: 2
Time-interval 116: 5
Time-interval 117: 3
Time-interval 118: 1
Time-interval 119: 2
Time-interval 120: 2
13626
