-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: Low
Daytime: Morning
Iteration: 2
Look-ahead time: 90.0 sec
Execution time: -6520 msec
-------------------------------------
Time-interval 1: 6
Time-interval 2: 6
Time-interval 3: 8
Time-interval 4: 7
Time-interval 5: 6
Time-interval 6: 5
Time-interval 7: 5
Time-interval 8: 12
Time-interval 9: 5
Time-interval 10: 10
Time-interval 11: 6
Time-interval 12: 10
Time-interval 13: 2
Time-interval 14: 5
Time-interval 15: 4
Time-interval 16: 5
Time-interval 17: 6
Time-interval 18: 7
Time-interval 19: 6
Time-interval 20: 1
Time-interval 21: 5
Time-interval 22: 5
Time-interval 23: 5
Time-interval 24: 5
Time-interval 25: 4
Time-interval 26: 5
Time-interval 27: 6
Time-interval 28: 2
Time-interval 29: 8
Time-interval 30: 4
Time-interval 31: 6
Time-interval 32: 7
Time-interval 33: 6
Time-interval 34: 5
Time-interval 35: 12
Time-interval 36: 8
Time-interval 37: 4
Time-interval 38: 8
Time-interval 39: 7
Time-interval 40: 8
Time-interval 41: 5
Time-interval 42: 4
Time-interval 43: 2
Time-interval 44: 5
Time-interval 45: 2
Time-interval 46: 7
Time-interval 47: 12
Time-interval 48: 7
Time-interval 49: 6
Time-interval 50: 4
Time-interval 51: 7
Time-interval 52: 4
Time-interval 53: 6
Time-interval 54: 7
Time-interval 55: 2
Time-interval 56: 4
Time-interval 57: 5
Time-interval 58: 9
Time-interval 59: 10
Time-interval 60: 10
Time-interval 61: 5
Time-interval 62: 7
Time-interval 63: 9
Time-interval 64: 8
Time-interval 65: 4
Time-interval 66: 6
Time-interval 67: 5
Time-interval 68: 8
Time-interval 69: 11
Time-interval 70: 13
Time-interval 71: 4
Time-interval 72: 10
Time-interval 73: 5
Time-interval 74: 4
Time-interval 75: 5
Time-interval 76: 7
Time-interval 77: 5
Time-interval 78: 9
Time-interval 79: 3
Time-interval 80: 8
Time-interval 81: 5
Time-interval 82: 5
Time-interval 83: 5
Time-interval 84: 3
Time-interval 85: 8
Time-interval 86: 10
Time-interval 87: 7
Time-interval 88: 4
Time-interval 89: 7
Time-interval 90: 6
Time-interval 91: 4
Time-interval 92: 4
Time-interval 93: 8
Time-interval 94: 1
Time-interval 95: 4
Time-interval 96: 6
Time-interval 97: 9
Time-interval 98: 5
Time-interval 99: 6
Time-interval 100: 7
Time-interval 101: 7
Time-interval 102: 6
Time-interval 103: 11
Time-interval 104: 7
Time-interval 105: 6
Time-interval 106: 5
Time-interval 107: 4
Time-interval 108: 11
Time-interval 109: 6
Time-interval 110: 7
Time-interval 111: 5
Time-interval 112: 6
Time-interval 113: 9
Time-interval 114: 11
Time-interval 115: 9
Time-interval 116: 5
Time-interval 117: 9
Time-interval 118: 9
Time-interval 119: 6
Time-interval 120: 13
