-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: Medium
Daytime: Evening
Iteration: 1
Look-ahead time: 30.0 sec
Execution time: -12040 msec
-------------------------------------
Time-interval 1: 3
Time-interval 2: 0
Time-interval 3: 0
Time-interval 4: 2
Time-interval 5: 2
Time-interval 6: 4
Time-interval 7: 0
Time-interval 8: 3
Time-interval 9: 1
Time-interval 10: 2
Time-interval 11: 0
Time-interval 12: 3
Time-interval 13: 2
Time-interval 14: 0
Time-interval 15: 3
Time-interval 16: 3
Time-interval 17: 2
Time-interval 18: 2
Time-interval 19: 2
Time-interval 20: 3
Time-interval 21: 1
Time-interval 22: 1
Time-interval 23: 1
Time-interval 24: 3
Time-interval 25: 1
Time-interval 26: 7
Time-interval 27: 1
Time-interval 28: 2
Time-interval 29: 4
Time-interval 30: 2
Time-interval 31: 0
Time-interval 32: 2
Time-interval 33: 0
Time-interval 34: 0
Time-interval 35: 2
Time-interval 36: 0
Time-interval 37: 4
Time-interval 38: 3
Time-interval 39: 1
Time-interval 40: 2
Time-interval 41: 3
Time-interval 42: 1
Time-interval 43: 0
Time-interval 44: 4
Time-interval 45: 4
Time-interval 46: 2
Time-interval 47: 2
Time-interval 48: 2
Time-interval 49: 2
Time-interval 50: 3
Time-interval 51: 1
Time-interval 52: 4
Time-interval 53: 3
Time-interval 54: 3
Time-interval 55: 6
Time-interval 56: 6
Time-interval 57: 5
Time-interval 58: 2
Time-interval 59: 3
Time-interval 60: 3
Time-interval 61: 3
Time-interval 62: 0
Time-interval 63: 3
Time-interval 64: 4
Time-interval 65: 4
Time-interval 66: 1
Time-interval 67: 4
Time-interval 68: 2
Time-interval 69: 4
Time-interval 70: 3
Time-interval 71: 3
Time-interval 72: 2
Time-interval 73: 8
Time-interval 74: 4
Time-interval 75: 8
Time-interval 76: 3
Time-interval 77: 3
Time-interval 78: 2
Time-interval 79: 4
Time-interval 80: 4
Time-interval 81: 5
Time-interval 82: 3
Time-interval 83: 4
Time-interval 84: 4
Time-interval 85: 2
Time-interval 86: 2
Time-interval 87: 3
Time-interval 88: 4
Time-interval 89: 3
Time-interval 90: 6
Time-interval 91: 5
Time-interval 92: 0
Time-interval 93: 4
Time-interval 94: 6
Time-interval 95: 4
Time-interval 96: 6
Time-interval 97: 5
Time-interval 98: 5
Time-interval 99: 6
Time-interval 100: 5
Time-interval 101: 7
Time-interval 102: 3
Time-interval 103: 8
Time-interval 104: 6
Time-interval 105: 2
Time-interval 106: 3
Time-interval 107: 4
Time-interval 108: 6
Time-interval 109: 8
Time-interval 110: 4
Time-interval 111: 3
Time-interval 112: 9
Time-interval 113: 6
Time-interval 114: 1
Time-interval 115: 1
Time-interval 116: 6
Time-interval 117: 3
Time-interval 118: 8
Time-interval 119: 6
Time-interval 120: 22
18229
